epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,38.1072,2.08753,2.4897,1.94806,0.23752,0.67292,0.64497,0.6689,0.33841,1.62262,1.23496,2.04499,0.05479,0.00198347,0.000661157,0.00198347,0.000661157,0.00198347,0.000661157,0.00198347,0.000661157
2,75.3911,1.53606,1.15561,1.5463,0.06159,0.73423,0.76472,0.7985,0.47581,1.3296,0.96511,1.69264,0.01109,0.0039677,0.00132257,0.0039677,0.00132257,0.0039677,0.00132257,0.0039677,0.00132257
3,107.199,1.4362,1.02386,1.45519,0.05562,0.76381,0.78516,0.82786,0.53024,1.25011,0.94264,1.58574,0.00806,0.00593608,0.00197869,0.00593608,0.00197869,0.00593608,0.00197869,0.00593608,0.00197869
4,139.301,1.37973,0.96357,1.3963,0.05771,0.7818,0.80646,0.8439,0.54781,1.19963,0.87342,1.51786,0.00884,0.00592872,0.00197624,0.00592872,0.00197624,0.00592872,0.00197624,0.00592872,0.00197624
5,183.301,1.33617,0.92237,1.36785,0.05216,0.78445,0.8135,0.85701,0.54735,1.20425,0.85176,1.48197,0.00788,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832
6,212.683,1.32051,0.90092,1.35748,0.04898,0.779,0.8095,0.85524,0.55851,1.1684,0.86593,1.46248,0.00683,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
7,243.297,1.29734,0.88039,1.34784,0.04868,0.79515,0.80634,0.86372,0.56403,1.15146,0.82689,1.43868,0.00642,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248
8,273.043,1.2945,0.87015,1.33361,0.0516,0.79342,0.80291,0.86293,0.57773,1.13993,0.8323,1.41211,0.00584,0.00583368,0.00194456,0.00583368,0.00194456,0.00583368,0.00194456,0.00583368,0.00194456
9,302.689,1.27085,0.85289,1.31871,0.05236,0.79396,0.81895,0.86972,0.58338,1.12164,0.78336,1.40419,0.00555,0.00580992,0.00193664,0.00580992,0.00193664,0.00580992,0.00193664,0.00580992,0.00193664
10,387.943,1.26482,0.84266,1.31658,0.05229,0.80216,0.80132,0.86802,0.58209,1.11673,0.792,1.41138,0.00614,0.00578616,0.00192872,0.00578616,0.00192872,0.00578616,0.00192872,0.00578616,0.00192872
